OriginSite,OriginBlock,originPlotID,TTtreat,destinationPlotID,turfID,RTtreat ,GRtreat,Old Treat,subPlot,year,date,Measure,recorder,Ach mil,Agr cap,Alc sp,Ant odo,Ave fle,Cam rot,Car lep,Car nigra,Car pal,Car pil,Cer fon,Des ces,Euph str,Fes rub,Gram sp,Hie pil,Hyp mac,Kna arv,Leo aut,Leu vul,Lot cor,Luz mul,Luz pil,Nar str,Oma syl,Pim sax,Pla lan,Poa pra,Pot ere,Pru vul,Ran acr,Ran rep,Rum ace,Rum ac-la,Sol vir,Sorbus,Ste gra,Suc pra,Tarax,Tri pra,Tri rep,Ver cha,Ver off,Vio pal,Vio riv,Vio tri,Nid seedling,pleuro,acro,liver,lichen,litter,soil,rock,totalVascular,totalBryophytes,totalLichen,vegetationHeight,mossHeight,comment
Ovstedal,2,292,TT1,293,292 TT1 293,,,1,7,2009,26-Aug,Presence,KK,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,15,0,0,15,0,0,,,,,,
Ovstedal,2,292,TT1,293,292 TT1 293,,,1,8,2009,26-Aug,Presence,KK,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,40,0,0,10,0,0,,,,,,
Ovstedal,2,292,TT1,293,292 TT1 293,,,1,9,2009,26-Aug,Presence,KK,,1,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,20,0,0,10,0,0,,,,,,
Ovstedal,2,292,TT1,293,292 TT1 293,,,1,10,2009,26-Aug,Presence,KK,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,20,0,0,5,0,0,,,,,,
Ovstedal,2,292,TT1,293,292 TT1 293,,,1,11,2009,26-Aug,Presence,KK,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,2,5,0,0,10,0,0,,,,,,
Ovstedal,2,292,TT1,293,292 TT1 293,,,1,12,2009,26-Aug,Presence,KK,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,2,5,0,0,10,0,0,,,,,,
Ovstedal,2,292,TT1,293,292 TT1 293,,,1,13,2009,26-Aug,Presence,KK,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,0,0,5,0,0,,,,,,
Ovstedal,2,292,TT1,293,292 TT1 293,,,1,14,2009,26-Aug,Presence,KK,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,20,10,0,0,5,0,0,,,,,,
Ovstedal,2,292,TT1,293,292 TT1 293,,,1,15,2009,26-Aug,Presence,KK,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,10,0,0,10,0,0,,,,,,
Ovstedal,2,292,TT1,293,292 TT1 293,,,1,16,2009,26-Aug,Presence,KK,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,5,0,0,0,30,0,0,,,,,,
Ovstedal,2,292,TT1,293,292 TT1 293,,,1,17,2009,26-Aug,Presence,KK,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,10,0,0,20,0,0,,,,,,
Ovstedal,2,292,TT1,293,292 TT1 293,,,1,18,2009,26-Aug,Presence,KK,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,2,10,0,0,5,5,0,,,,,,
