OriginSite,OriginBlock,originPlotID,TTtreat,destinationPlotID,turfID,RTtreat ,GRtreat,Old label (Treat),subPlot,year,date,Measure,recorder,Ach mil,Agr cap,Alc alp,Alc sp,Ant alp ,Ant dio,Ant odo,Ast alp,Ave fle,Bis viv,Bot lun,Cam rot,Car atr,Car atr,Car big,Car cap,Car nor,Car vag,Cer alp,Cer fon,Des ces,Epi ana,Epi sp ,Eup fri,Fes ovi,Fes rub,Fes viv,Gen niv,Hie pil,Hie sp,Jun tri,L. spi,Leo aut,Luz mul,Luz sp,Luz spi,Nar stri,Oma nor ,Oma sup,Par pal,Phl alp,Phy cae,Poa alp,Poa pra,Pot cra,Pot ere,Pyr min,Pyr sp,Rum ac-la,Ran acr,Rum ace,Sag pro,Sag sag,Sag sp,Sal her,Sal ret,Sau alp,Sel sel,Sib pro,Sil aca,Tar sp,Tha alp,Tof pus,Tri rep,Vac myr,Vac vit,Ver alp,Ver fru,Vio bif,Vio pal,Vio tri,Nid seedling,pleuro,acro,liver,lichen,litter,soil,rock,totalVascular,totalBryophytes,totalLichen,vegetationHeight,mossHeight,comment
Ulvhaugen,1,3,TT1,1,3 TT1 1,,,2,4,2009,11-Aug,Presence,W,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,0,10,0,0,20,0,0,,,,,,
Ulvhaugen,1,3,TT1,1,3 TT1 1,,,2,5,2009,11-Aug,Presence,W,,1,DF,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,1,,,,,,,,1,,1,,,,0,10,0,0,10,0,0,,,,,,
Ulvhaugen,1,3,TT1,1,3 TT1 1,,,2,6,2009,11-Aug,Presence,W,,,F,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,1,1,,,,,,1,,1,,,,,,10,5,0,0,10,0,0,,,,,,
Ulvhaugen,1,3,TT1,1,3 TT1 1,,,2,7,2009,11-Aug,Presence,W,,1,F,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,5,5,0,0,20,0,0,,,,,,
Ulvhaugen,1,3,TT1,1,3 TT1 1,,,2,8,2009,11-Aug,Presence,W,,1,F,,,,1,,,F,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,2,5,0,0,15,0,0,,,,,,
Ulvhaugen,1,3,TT1,1,3 TT1 1,,,2,9,2009,11-Aug,Presence,W,,F,1,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,0,5,5,0,5,5,0,,,,,,
Ulvhaugen,1,3,TT1,1,3 TT1 1,,,2,10,2009,11-Aug,Presence,W,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,1,,,,0,20,0,0,5,2,0,,,,,,
Ulvhaugen,1,3,TT1,1,3 TT1 1,,,2,11,2009,11-Aug,Presence,W,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,10,5,3,5,10,0,0,,,,,,
Ulvhaugen,1,3,TT1,1,3 TT1 1,,,2,12,2009,11-Aug,Presence,W,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,0,0,5,0,30,0,0,,,,,,
Ulvhaugen,1,3,TT1,1,3 TT1 1,,,2,13,2009,11-Aug,Presence,W,,1,F,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,2,0,0,0,30,0,0,,,,,,
Ulvhaugen,1,3,TT1,1,3 TT1 1,,,2,14,2009,11-Aug,Presence,W,,1,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,5,0,0,0,15,0,0,,,,,,
Ulvhaugen,1,3,TT1,1,3 TT1 1,,,2,15,2009,11-Aug,Presence,W,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,15,2,0,,,,,,
Ulvhaugen,1,3,TT1,1,3 TT1 1,,,2,16,2009,11-Aug,Presence,W,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,2,0,0,0,10,2,0,,,,,,
Ulvhaugen,1,3,TT1,1,3 TT1 1,,,2,17,2009,11-Aug,Presence,W,,1,F,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,0,0,0,15,0,0,,,,,,
Ulvhaugen,1,3,TT1,1,3 TT1 1,,,2,18,2009,11-Aug,Presence,W,,1,DF,,,,,F,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,20,0,0,,,,,,
Ulvhaugen,1,3,TT1,1,3 TT1 1,,,2,19,2009,11-Aug,Presence,W,,F,1,,,,1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,1,,,,,,,1,,,,,,,10,0,0,0,30,0,0,,,,,,
Ulvhaugen,1,3,TT1,1,3 TT1 1,,,2,20,2009,11-Aug,Presence,W,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,1,,,,0,3,0,0,30,0,0,,,,,,
Ulvhaugen,1,3,TT1,1,3 TT1 1,,,2,21,2009,11-Aug,Presence,W,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,1,,,,,,,1,,,1,,,,10,0,0,0,30,0,0,,,,,,
