OriginSite,OriginBlock,originPlotID,TTtreat,destinationPlotID,turfID,RTtreat ,GRtreat,Old Treat,subPlot,year,date,Measure,recorder,Ach mil,Agr cap,Agr mer,Alc alp,Alc sp,Ant dio,Ant odo,Ave fle,Bis viv,Bot lun,Cam rot,Car big,Car Cap,Car fla,Car nor,Car pil,Car vag,Cer alp,Cer fon ,Des ces,Emp her,Epi ana,Eup str,Fes ovi,Fes rub,Fes viv,Gen niv,Gram sp,Hie pil,Hie vul,Jun com,Kob sim,Leo aut,Lot cor,Luz mul ,Nar stri,Oma sup,Par pal,Par pal,Phle alp,Pin vul,Pin vul,Poa alp,Poa pra,Pot cra,Pot ere,Pyr min,Pyr nor,Rum ac-la,Ran acr,Rum ace,Sag,Sal her,Saus alp,Sax aiz ,Sel sel,Sib,Sil aca,Sol vir,Tarax,Tha alp,Tri rep,Vac myr,Ver alp,Ver fru,Ver off,Vio bif,Vio pal,Nid seedling,pleuro,acro,liver,lichen,litter,soil,rock,totalVascular,totalBryophytes,totalLichen,vegetationHeight,mossHeight,comment
Skjellingahaugen,12,535,TTC,535,535 TTC,,,RTC,25,2009,15-Aug,Presence,W,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,S,,,,,,,,,,,,1,,,,1,,,,,,,,,50,0,0,0,10,5,0,,,,3,,
Skjellingahaugen,12,535,TTC,535,535 TTC,,,RTC,%,2009,15-Aug,Cover,W,,2,,1,1,,1,1,2,,1,,4,,,,,,1,2,,,1,,1,,1,,,,,,1,,1,5,,1,1,1,,,1,,7,,,,,,,,3,,5,1,8,10,,1,12,,,1,1,,,1,1,11.04,0,0,0,5.52,7.8,0,75,15,0,3.75,0.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skjellingahaugen,1,236,TTC,236,236 TTC,,,TTC,1,2009,15-Aug,Presence,W,,,,,,,,,1,,,,F,,,,,,,,,,SF,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,5,0,0,0,15,0,0,,,,,,
Skjellingahaugen,1,236,TTC,236,236 TTC,,,TTC,2,2009,15-Aug,Presence,W,,,,,,,,,F,,1,,1,,,,,,,1,,,S,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,10,0,0,0,20,0,0,,,,,,
Skjellingahaugen,1,236,TTC,236,236 TTC,,,TTC,3,2009,15-Aug,Presence,W,,1,,,,,,,1,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,F,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,15,0,0,0,30,0,0,,,,,,
Skjellingahaugen,1,236,TTC,236,236 TTC,,,TTC,4,2009,15-Aug,Presence,W,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,F,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,20,0,0,0,15,0,0,,,,,,
Skjellingahaugen,1,236,TTC,236,236 TTC,,,TTC,5,2009,15-Aug,Presence,W,,1,,,1,,,,F,,1,,,,,,,,,,S,,SF,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,10,0,0,0,15,0,0,,,,,,
Skjellingahaugen,1,236,TTC,236,236 TTC,,,TTC,6,2009,15-Aug,Presence,W,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,10,0,0,0,20,0,0,,,,,,
Skjellingahaugen,1,236,TTC,236,236 TTC,,,TTC,7,2009,15-Aug,Presence,W,,,,,,,,,,,1,,F,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,5,0,0,0,25,0,0,,,,,,
Skjellingahaugen,1,236,TTC,236,236 TTC,,,TTC,8,2009,15-Aug,Presence,W,,1,,,,,,,1,,,,F,,,,,,,1,,,SF,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,10,0,0,0,15,0,0,,,,,,
Skjellingahaugen,1,236,TTC,236,236 TTC,,,TTC,9,2009,15-Aug,Presence,W,,,,,,,,,1,,,,F,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,10,0,0,0,25,0,0,,,,,,
Skjellingahaugen,1,236,TTC,236,236 TTC,,,TTC,10,2009,15-Aug,Presence,W,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,5,0,0,0,25,0,0,,,,,,
Skjellingahaugen,1,236,TTC,236,236 TTC,,,TTC,11,2009,15-Aug,Presence,W,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,60,0,0,0,10,0,0,,,,,,
