OriginSite;OriginBlock;originPlotID;TTtreat;destinationPlotID;turfID;RTtreat ;GRtreat;Old Treat;subPlot;year;date;Measure;recorder;Ach mil;Agr cap;Alc alp;Alc sp;Ant dio;Ant odo;Ave fle;Bet pub;Bis viv;Botrych ;Cam rot;Car cap;Car pal;Car pil;Cer alp;Cer fon;Des ces;Dianthus ;Epi ana;Euph sp;Fes ovi;Fes rub;Fes viv;Ger syl;Hie pil;Hie vulg;Hyp mac;Hypo mac;Kna arv;Leo aut;Leu vul;Lot cor;Luz mul;Luz pil;Nar stri;Oma syl;Par pal;Pim sax;Pimp  ;Pla lan;Pla maj;Pla med;Pla sp;Poa alp;Poa pra;Pot cra;Pot ere;Pru vul;Ran acr;Ran rep;Rhin min;Rum ace;Rum ac-la;Sag pro;Sag sag;Sag sp;Sal her;Sil aca;Sil vul;Sol vir;Ste gra;Tarax;Tha alp;Tri pra;Tri rep;Vac myr;Ver alp;Ver cha;Ver off;Ver serp;Vic fla;Vio bif;Vio pal;Vio riv;Vio tri;Vio sp;Visc vul;Nid seedling;pleuro;acro;liver;lichen;litter;soil;rock;totalVascular;totalBryophytes;totalLichen;vegetationHeight;mossHeight;comment
Alrust;1;28;TT1;30;28 TT1 30;;;2;2;2009;27-Jul;Presence;W;;1;;;;;;;1;;;;;;;;;;;;;1;;;1;;;;;;;F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;0;0;0;0;10;0;0;;;;;;
Alrust;1;28;TT1;30;28 TT1 30;;;2;3;2009;27-Jul;Presence;W;;1;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;15;0;0;;;;;;
Alrust;1;28;TT1;30;28 TT1 30;;;2;4;2009;27-Jul;Presence;W;1;1;;;;;;;F;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;S;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;0;0;0;0;15;0;0;;;;;;
Alrust;1;28;TT1;30;28 TT1 30;;;2;5;2009;27-Jul;Presence;W;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;1;;;;;0;0;0;0;10;0;0;;;;;;
Alrust;1;28;TT1;30;28 TT1 30;;;2;6;2009;27-Jul;Presence;W;1;1;;;;;;;1;;;;;;;;;;;;;1;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;0;0;0;0;5;0;0;;;;;;
Alrust;1;28;TT1;30;28 TT1 30;;;2;7;2009;27-Jul;Presence;W;1;1;;;;;;;1;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;0;0;0;0;5;0;0;;;;;;
Alrust;1;28;TT1;30;28 TT1 30;;;2;8;2009;27-Jul;Presence;W;1;1;;;;1;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;15;0;0;;;;;;
Alrust;1;28;TT1;30;28 TT1 30;;;2;9;2009;27-Jul;Presence;W;;1;;;;1;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;1;20;0;0;;;;;;
Alrust;1;28;TT1;30;28 TT1 30;;;2;10;2009;27-Jul;Presence;W;;1;;;;;;;1;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0;15;0;0;;;;;;
Alrust;1;28;TT1;30;28 TT1 30;;;2;11;2009;27-Jul;Presence;W;;1;;;;;;;1;;;;;;;;;;;;;1;;;1;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;0;0;0;0;10;0;0;;;;;;
Alrust;1;28;TT1;30;28 TT1 30;;;2;12;2009;27-Jul;Presence;W;;1;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;10;0;0;;;;;;
Alrust;1;28;TT1;30;28 TT1 30;;;2;13;2009;27-Jul;Presence;W;1;1;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;F;;;;;;;;;;;;;;;;;;;;;;;1;;;;;0;0;0;0;15;10;0;;;;;;
